ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
2159470,6.8,4019,垮掉的一代,[美] 杰克·凯鲁亚克,上海译文出版社,2007-7,140,13.00元,平装,9787532743063.0,,金绍禹,,杰克·凯鲁亚克作品,success,13.0,<20
4860554,8.8,4018,淘气包马小跳系列,杨红樱,接力出版社,2006-8,178,276.00元,,9787544807548.0,,,,,success,276.0,>200
30304849,8.9,4016,拍电影时我在想的事,[日] 是枝裕和,南海出版公司,2018-9,354,88.00,精装,9787544294041.0,映画を撮りながら考えたこと,褚方叶,,新经典文库·是枝裕和作品,success,88.0,70-100
1274469,8.4,4016,自杀论,[法] 埃米尔·迪尔凯姆,商务印书馆,1996-12,430,27.00元,平装,9787100031233.0,Le suicide,冯韵文,,汉译世界学术名著丛书·政治法律社会,success,27.0,20-30
1422116,8.8,4016,混血王子的背叛,J.K.羅琳,皇冠文化,2005-10,735,港币176元,平装,9789573321743.0,,皇冠編譯組,,哈利波特,success,176.0,100-200
4101013,8.2,4016,设计的觉醒,田中一光,广西师范大学出版社,2009.10,320,58.00,平装,9787563390953.0,,朱锷,,,success,58.0,50-70
2253402,9.1,4015,罪与罚,陀思妥耶夫斯基 (Dostoevsky),上海文艺出版社,2007-8,534,29.00元,平装,9787532131938.0,,非琴,,世界十大文学名著,success,29.0,20-30
1088812,8.3,4015,第二十二条军规,[美] 约瑟夫·海勒,译林出版社,2006-6,512,23.50元,精装,9787805676296.0,,扬恝 / 程爱民 / 邹惠玲,,译林世界文学名著·现当代系列,success,23.5,20-30
30175475,8.8,4015,Educated,Tara Westover,Random House,2018-2-20,352,USD 28.00,Hardcover,9780399590504.0,,,,,success,28.0,20-30
10486418,8.2,4014,十一种孤独,理查德·耶茨,上海译文出版社,2012-2-1,270,27.00元,精装,9787532756766.0,Eleven Kinds of Loneliness,陈新宇,,译文经典（精装本）,success,27.0,20-30
10439064,8.9,4011,发现之旅,托尼•赖斯,商务印书馆,2012-1-1,327,75.00元,平装,9787100085007.0,voyages of discovery,林洁盈,,涵芬博物,success,75.0,70-100
3071688,8.7,4010,黄金时代,王小波,上海锦绣文章出版社,2008-5,138,18.00,平装,9787806859957.0,,,,王小波作品全集（磨铁2008版）,success,18.0,<20
1491251,7.0,4009,病毒,蔡骏,接力出版社,2006-01,360,28.00元,平装,9787807321606.0,,,,接力社·蔡骏作品,success,28.0,20-30
1949121,7.7,4009,白色城堡,[土耳其] 奥尔罕·帕慕克,上海人民出版社,2006-12,170,20.00元,平装,9787208066410.0,Beyaz Kale,沈志兴,,奥尔罕·帕慕克作品系列,success,20.0,<20
4238144,9.2,4004,岁朝清供,汪曾祺,生活·读书·新知三联书店,2010-1-1,296,25.00元,精装,9787108033550.0,,,,中学图书馆文库,success,25.0,20-30
26825085,7.8,4004,阿南,Twentine,漓江出版社,2016-8-1,352,32,平装,9787540778606.0,,,,,success,32.0,30-40
4710402,7.4,4004,男人这东西,渡边淳一,作家出版社,2010-3,263,28.00元,平装,9787506352321.0,,陆求实,,渡边淳一 两性关系读本,success,28.0,20-30
1040632,8.5,3999,木偶奇遇记,[意] 卡洛·科洛迪,人民文学出版社,1998-5,171,7.60元,平装,9787020025435.0,,任溶溶,,世界儿童文学丛书,success,7.6,<20
25803923,7.8,3998,你是我不及的梦,三毛,北京十月文艺出版社,2014-1,232,29.50元,精装,9787530213476.0,,,,三毛典藏全集(共14册),success,29.5,20-30
1276930,9.0,3998,香初上舞·再上,藤萍,广西人民出版社,2005-3-1,251,18.0,平装,9787219052877.0,,,,香初上舞,success,18.0,<20
1089949,7.7,3994,本阵杀人事件,日.横沟正史,珠海出版社,2000-11-1,284,15.0,平装,9787806077177.0,,赵剑锋,,横沟正史精品系列,success,15.0,<20
1024889,8.6,3993,大灰狼罗克,郑渊洁,学苑出版社,1996-10-1,249,10.00,平装,9787507711950.0,,,,郑渊洁童话,success,10.0,<20
1159949,7.8,3992,杰克·韦尔奇自传,（美）杰克.韦尔奇（Jack Welch） / 约翰.拜恩（John A. Byrne） / none,中信出版社,2004-5-1,380,29.00元,平装,9787508601915.0,,曹彦博 / 孙立明 / 丁浩,,,success,29.0,20-30
1469878,8.5,3992,日瓦戈医生,〔苏〕鲍里斯·帕斯捷尔纳克,人民文学出版社,2006-1-1,535,28,平装,9787020053087.0,До́ктор Жива́го,蓝英年 / 张秉衡,,名著名译插图本,success,28.0,20-30
25742211,9.2,3991,上帝掷骰子吗?,曹天元,北京联合出版公司,2013-8-1,381,45.00元,精装,9787550217454.0,,,,,success,45.0,40-50
1023709,8.4,3988,被背叛的遗嘱,米兰·昆德拉,上海译文出版社,2003-02,293,17.00元,平装,9787532730100.0,,余中先,,米兰·昆德拉作品系列（2003版）,success,17.0,<20
2271582,8.3,3986,又来了，找死的兔子,[英] 安迪·莱利,南海出版公司,2007-9,96,18.00元,精装,9787544238489.0,,,,新经典文库,success,18.0,<20
25918820,7.6,3986,吴哥之美,蒋勋,湖南美术出版社,2020-4,280,78.00元,平装,9787535668776.0,,,,蒋勋作品,success,78.0,70-100
27075479,7.3,3985,人渣反派自救系統 上,墨香銅臭,平心工作室,2017-7-24,,NTD 330,平装,9789865710965.0,,,,人渣反派自救系統,success,330.0,>200
1036753,6.5,3983,爱上爱情,曾炜 / 解嬿嬿,上海人民出版社,2002-4,253,15.00元,平装,9787208041011.0,,,,,success,15.0,<20
5275385,7.4,3982,鲤·荷尔蒙,张悦然 主编,上海文艺出版社,2010-10,211,25.00元,平装,9787532139835.0,,,,鲤,success,25.0,20-30
1844629,8.5,3979,灿烂涅槃,郝舫,安徽人民出版社,2006-7,352,38.00元,平装,9787212028534.0,,,,,success,38.0,30-40
3662581,7.6,3976,巫言,朱天文,上海人民出版社,2009-5,385,35.00,平装,9787208083127.0,,,,华语文学系列,success,35.0,30-40
1212890,8.1,3976,连城诀,金庸,广州出版社 花城出版社,2008-3,357,20.00元,平装,9787806553367.0,,,,金庸作品集（新修版·平装）,success,20.0,<20
4822144,7.6,3975,历史是个什么玩意儿3,袁腾飞,宁夏人民出版社,2010-7,232,32.80元,平装,9787227044741.0,,,,历史是个什么玩意儿,success,32.8,30-40
