publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
大塊文化,10,8.559999999999999,8.549932310466989,62085,350.0,2001-2017,"['星空', '1.2.3.木頭人', '那不勒斯故事四部曲', '地下鐵', '你們我們他們', '我的心中每天開出一朵花', '谢谢你毛毛兔，这个下午真好玩', '我不是完美小孩', '世界別為我擔心', '我的错都是大人的错']",8.38807245905816,优秀
广州出版社 花城出版社,7,8.62857142857143,8.61913488480212,73279,86.0,2008-2008,"['鹿鼎记（全五册）', '侠客行（全二册）', '神雕侠侣（全四册）', '笑傲江湖（全四册）', '连城诀', '射雕英雄传（全四册）', '倚天屠龙记（全四册）']",8.387999863190625,优秀
尖端,7,8.628571428571428,8.616453915814033,25230,120.0,1994-2009,"['NANA 12', '人魚之傷', '伊藤潤二的貓日記', '人魚之森', '福星小子 1', '瀕死之綠', '相聚一刻（1）']",8.386826939258336,优秀
上海三联书店,37,8.432432432432432,8.426141773520904,423185,28.0,1998-2019,"['送你一颗子弹', '民主的细节', '心是孤独的猎手', '动物庄园', '冬泳', '伤心咖啡馆之歌', '伤心咖啡馆之歌', '我读', '当彩色的声音尝起来是甜的', '为了报仇看电影', '极简宇宙史', '蒋勋说红楼梦（第一辑）', '叫魂', '毛姆读书随笔', '棋王', '厌女', '给一个未出生孩子的信', '六里庄遗事', '有所不为的反叛者', '书店的灯光', '被淹没和被拯救的', '梦的解析', '许子东现代文学课', '第五项修炼', '路上有惊慌', '九人', '一九八四', '民主的细节', '了不起的盖茨比', '婚礼的成员', '蒋勋说红楼梦（第二辑）', '彷徨少年时', '学习的革命', '菊与刀', '蒋勋说红楼梦（第三辑）', '沉默的大多数', '沉思录']",8.383506505167578,良好
外语教学与研究出版社,10,8.55,8.53958517886343,71527,21.9,1997-2018,"['24个比利', '夏日终曲', '威尼斯商人', '新概念英语（3）', '新概念英语（2）', '小公主', '新概念英语第一册', '比利战争', '新概念英语（4）', '留德十年']",8.382626600319444,优秀
北京理工大学出版社,5,8.7,8.694960407344686,35207,28.0,2011-2013,"['滚蛋吧!肿瘤君', '美丽新世界', '1984', '爱你就像爱生命', '我们']",8.382061118154184,优秀
辽宁教育出版社,34,8.43235294117647,8.426356432723333,266113,25.9,1998-2011,"['地下铁', '我的心中每天开出一朵花', '上帝掷骰子吗', '又寂寞又美好', '微笑的鱼', '幸运儿', '夜莺与玫瑰', '哲学家们都干了些什么？', '你们 我们 他们', '照相本子', '上帝掷骰子吗？', '去，你的旅行', '献给阿尔吉侬的花束', '森林里的秘密', '我只能为你画一张小卡片', '布瓜的世界', '搜神记Ⅰ-神农使者', '傅雷家书', '死亡通知单2：宿命（上）', '死亡通知单3：离别曲（下）', '上帝掷骰子吗', '死亡通知单3：离别曲（上）', '搜神记Ⅱ·大荒惊变', '死亡通知单2：宿命（下）', '搜神记Ⅲ·灵山十巫', '搜神记Ⅳ·太乙火真', '搜神记Ⅴ·三生石', '搜神记Ⅵ·似是故人来', '他，来自火星', '一九八四', '知日· HI! 美术馆', '知日·制服uniforms', '蛮荒记1·鲲鹏', '哪瓣洋葱不流泪']",8.380701682093685,良好
明河社,4,8.775,8.756198678586289,11954,100.0,1976-1994,"['笑傲江湖', '神鵰俠侶', '倚天屠龍記', '射鵰英雄傳']",8.376834487060023,优秀
天津大学出版社,3,8.9,8.873761001199469,7384,80.0,2003-2005,"['建筑：形式、空间和秩序', '华夏意匠', '建筑学教程：设计原理']",8.37461138508613,优秀
中国少年儿童出版社,4,8.75,8.73611461469787,18441,16.3,1999-2006,"['长袜子皮皮', '格兰特船长的儿女', '水果篮子2', '丁丁历险记（共22本）']",8.370654775094357,优秀
東立出版社有限公司,3,8.866666666666667,8.845743457723788,9702,85.0,1993-1998,"['封神演義 1', 'JOJO的奇妙冒險(01)', '百鬼夜行抄1 [東立]']",8.367606999217209,优秀
上海人民美术出版社,5,8.66,8.643972203201162,17802,32.0,1987-2016,"['大哥', '大哥', '素描的诀窍', '葫芦兄弟', '手绘的奇思妙想']",8.363851045245783,优秀
